Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":205,""user_type_id"":2}')",1,2026-07-09T21:36:11Z,2026-07-09T21:36:11Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":135,""user_type_id"":3}')",1,2026-07-09T21:36:03Z,2026-07-09T21:36:03Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":36,""user_type_id"":1}')",1,2026-07-09T21:35:49Z,2026-07-09T21:35:49Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":106,""user_type_id"":2}')",1,2026-07-09T21:35:59Z,2026-07-09T21:35:59Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":100,""user_type_id"":3}')",1,2026-07-09T21:35:58Z,2026-07-09T21:35:58Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":131,""user_type_id"":3}')",1,2026-07-09T21:36:02Z,2026-07-09T21:36:02Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":137,""user_type_id"":2}')",1,2026-07-09T21:36:03Z,2026-07-09T21:36:03Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":111,""user_type_id"":2}')",1,2026-07-09T21:35:59Z,2026-07-09T21:35:59Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":66,""user_type_id"":3}')",1,2026-07-09T21:35:54Z,2026-07-09T21:35:54Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":184,""user_type_id"":1}')",1,2026-07-09T21:36:09Z,2026-07-09T21:36:09Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":11,""user_type_id"":1}')",1,2026-07-09T21:35:45Z,2026-07-09T21:35:45Z
